CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment_Label
54,Female,32,121,69,1,Moderate value customers
55,Male,49,158,54,2,Potential churn risk
56,Female,49,100,38,2,Potential churn risk
57,Female,41,78,37,0,Moderate value customers
58,Male,58,168,100,3,High-value loyal customers
59,Male,69,86,71,3,High-value loyal customers
60,Male,66,101,27,2,Potential churn risk
61,Male,66,140,60,2,Potential churn risk
62,Male,69,52,92,3,High-value loyal customers
63,Male,29,95,86,1,Moderate value customers
64,Male,56,56,95,3,High-value loyal customers
65,Male,19,135,13,1,Moderate value customers
66,Female,20,31,98,1,Moderate value customers
67,Female,66,119,31,2,Potential churn risk
68,Male,54,46,79,3,High-value loyal customers
69,Female,66,133,95,3,High-value loyal customers
70,Female,34,62,39,0,Moderate value customers
71,Female,66,38,12,0,Moderate value customers
72,Female,19,72,73,1,Moderate value customers
73,Male,19,147,63,1,Moderate value customers
74,Female,45,77,80,3,High-value loyal customers
75,Male,40,68,34,0,Moderate value customers
76,Female,54,122,41,2,Potential churn risk
77,Female,49,71,94,3,High-value loyal customers
78,Female,50,148,26,2,Potential churn risk
79,Male,18,55,41,1,Moderate value customers
80,Female,36,128,15,2,Potential churn risk
81,Male,19,79,78,1,Moderate value customers
82,Female,61,54,29,0,Moderate value customers
83,Male,43,53,69,3,High-value loyal customers
84,Female,49,42,100,3,High-value loyal customers
85,Male,23,89,54,1,Moderate value customers
86,Male,49,151,100,3,High-value loyal customers
87,Female,21,36,41,0,Moderate value customers
88,Male,28,86,87,1,Moderate value customers
89,Female,34,65,100,3,High-value loyal customers
90,Female,55,74,29,2,Potential churn risk
91,Female,41,49,28,0,Moderate value customers
92,Female,22,94,67,1,Moderate value customers
93,Female,69,37,100,3,High-value loyal customers
94,Female,51,139,42,2,Potential churn risk
95,Female,23,45,17,0,Moderate value customers
96,Female,39,43,60,0,Moderate value customers
97,Female,28,105,18,1,Moderate value customers
98,Female,65,144,28,2,Potential churn risk
99,Female,33,116,94,1,Moderate value customers
100,Male,50,44,100,3,High-value loyal customers
101,Male,26,121,35,1,Moderate value customers
102,Female,23,127,22,1,Moderate value customers
103,Female,33,95,67,1,Moderate value customers
104,Female,46,61,89,3,High-value loyal customers
105,Female,20,116,94,1,Moderate value customers
106,Female,37,92,91,3,High-value loyal customers
107,Female,53,115,18,2,Potential churn risk
108,Female,36,80,64,1,Moderate value customers
109,Female,43,54,24,0,Moderate value customers
110,Male,20,87,54,1,Moderate value customers
111,Female,36,92,100,3,High-value loyal customers
112,Male,37,91,17,0,Moderate value customers
113,Female,49,51,66,3,High-value loyal customers
114,Female,24,87,24,1,Moderate value customers
115,Male,69,87,81,3,High-value loyal customers
116,Female,58,115,14,2,Potential churn risk
117,Male,50,78,76,3,High-value loyal customers
118,Female,57,81,33,2,Potential churn risk
119,Female,56,71,83,3,High-value loyal customers
120,Male,35,99,100,3,High-value loyal customers
121,Female,57,44,57,0,Moderate value customers
122,Male,18,48,68,1,Moderate value customers
123,Female,28,101,1,1,Moderate value customers
124,Male,45,54,54,0,Moderate value customers
125,Male,42,95,84,3,High-value loyal customers
126,Female,67,91,1,2,Potential churn risk
127,Female,40,10,10,0,Moderate value customers
128,Male,48,47,37,0,Moderate value customers
129,Female,47,54,70,3,High-value loyal customers
130,Female,59,102,85,3,High-value loyal customers
131,Female,52,102,38,2,Potential churn risk
132,Male,24,10,8,0,Moderate value customers
133,Male,33,97,1,0,Moderate value customers
134,Male,43,62,42,0,Moderate value customers
135,Male,65,10,24,0,Moderate value customers
136,Male,69,103,38,2,Potential churn risk
137,Male,66,90,27,2,Potential churn risk
138,Male,19,110,43,1,Moderate value customers
139,Male,18,88,24,1,Moderate value customers
140,Male,65,41,1,0,Moderate value customers
141,Female,29,93,80,1,Moderate value customers
142,Male,22,49,1,0,Moderate value customers
143,Female,54,34,20,0,Moderate value customers
144,Female,49,46,72,3,High-value loyal customers
145,Female,26,10,78,0,Moderate value customers
146,Male,58,10,60,0,Moderate value customers
147,Male,52,108,3,2,Potential churn risk
148,Male,36,100,61,1,Moderate value customers
149,Male,65,24,1,0,Moderate value customers
150,Female,33,13,59,0,Moderate value customers
151,Male,20,11,43,0,Moderate value customers
152,Male,37,114,2,2,Potential churn risk
153,Male,41,57,1,0,Moderate value customers
154,Male,50,13,31,0,Moderate value customers
155,Male,41,86,1,0,Moderate value customers
156,Female,69,52,25,0,Moderate value customers
157,Male,28,49,27,0,Moderate value customers
158,Female,66,84,1,2,Potential churn risk
159,Male,25,95,35,1,Moderate value customers
160,Female,53,84,12,2,Potential churn risk
161,Male,55,111,51,2,Potential churn risk
162,Male,57,56,1,0,Moderate value customers
163,Female,37,17,14,0,Moderate value customers
164,Female,52,10,22,0,Moderate value customers
165,Female,65,10,23,0,Moderate value customers
166,Male,42,111,68,3,High-value loyal customers
167,Female,52,10,1,0,Moderate value customers
168,Male,42,52,50,0,Moderate value customers
169,Male,46,116,71,3,High-value loyal customers
170,Female,35,10,2,0,Moderate value customers
171,Female,63,105,56,2,Potential churn risk
172,Male,35,28,74,0,Moderate value customers
173,Male,19,90,30,1,Moderate value customers
174,Female,52,112,1,2,Potential churn risk
175,Female,33,42,21,0,Moderate value customers
176,Female,58,83,55,3,High-value loyal customers
177,Male,53,98,16,2,Potential churn risk
178,Male,50,103,4,2,Potential churn risk
179,Male,21,111,46,1,Moderate value customers
180,Male,50,10,39,0,Moderate value customers
181,Male,31,10,24,0,Moderate value customers
182,Male,38,55,76,3,High-value loyal customers
183,Female,65,97,59,2,Potential churn risk
184,Male,37,58,75,3,High-value loyal customers
185,Male,25,57,4,0,Moderate value customers
186,Male,24,63,24,0,Moderate value customers
187,Female,20,16,52,0,Moderate value customers
188,Male,34,87,30,1,Moderate value customers
189,Male,50,113,1,2,Potential churn risk
190,Female,65,61,77,3,High-value loyal customers
191,Male,29,70,43,1,Moderate value customers
192,Male,68,20,5,0,Moderate value customers
193,Male,39,10,77,0,Moderate value customers
194,Male,39,45,57,0,Moderate value customers
195,Male,63,95,46,2,Potential churn risk
196,Female,47,80,24,0,Moderate value customers
197,Female,55,51,1,0,Moderate value customers
198,Female,55,23,1,0,Moderate value customers
199,Male,62,72,62,3,High-value loyal customers
200,Male,68,86,77,3,High-value loyal customers
